Rosa	rosid_dicot_genus
Napoletana	the inside
Siciliana	Romano
Spiciness	taste_property
Spiciness	indelicacy
Media	instrumentality
Media	instrumentation
Media	environment
Media	environs
Media	surroundings
Media	surround
Media	communication
Media	communicating
Media	food
Media	nutrient
Media	liquid
Media	substance
Media	substance
Media	state
Media	psychic
Media	transmission
Media	occupation
Media	business
Media	job
Media	line_of_work
Media	line
Cheesy Pizza	Roll
Pizza	dish
Food	substance
Food	solid
Food	content
Food	cognitive_content
Food	mental_object
Sloppy Giuseppe	a range
American	inhabitant
American	habitant
American	dweller
American	denizen
American	indweller
American	English
American	English_language
American	inhabitant
American	habitant
American	dweller
American	denizen
American	indweller
Cajun	s
Cajun	Acadian