Window	Door
Critical_Vulnerability	Vulnerability
TITLE_File_Inclusion	Vulnerability
Monitoring	Control
Privilege_Escalation	Directory_Traversal
Buffer_Overflow	Directory_Traversal
Privilege_Escalation	Security_Bypass_Vulnerability
SQL_Injection_Vulnerabilities	Security_Bypass_Vulnerability
Buffer_Overflow	Security_Bypass_Vulnerability
SQL_Injection_Vulnerabilities	id_SQL_Injection
TITLE_File_Inclusion	id_SQL_Injection
Script_Insertion_Vulnerabilities	SQL_Injection_Vulnerabilities
id_SQL_Injection	SQL_Injection_Vulnerabilities
File_Inclusion	SQL_Injection_Vulnerabilities
Privilege_Escalation	Privilege_Escalation_Vulnerability
Privilege_Escalation_Vulnerability	Privilege_Escalation
Privilege_Escalation_Vulnerability	Directory_Traversal_Vulnerability
Code_Execution_Vulnerability	Directory_Traversal_Vulnerability
AntiOnline_Spotlight	Password_Protected
Directory_Traversal_Vulnerability	Password_Protected
Critical_Vulnerability	IE_Flaw
Script_Insertion_Vulnerability	Remote_SQL_Injection
id_SQL_Injection	Remote_SQL_Injection
Code_Execution_Vulnerability	Remote_SQL_Injection
SQL_Injection_Vulnerability	Script_Insertion_Vulnerability
SQL_Injection_Vulnerabilities	Script_Insertion_Vulnerability
Script_Insertion	Script_Insertion_Vulnerability
Privilege_Escalation_Vulnerability	Arbitrary_File
Remote_File_Inclusion	Arbitrary_File
Code_Execution_Vulnerability	Arbitrary_File
Script_Insertion_Vulnerabilities	File_Upload
SQL_Injection_Vulnerabilities	File_Upload
Directory_Traversal_Vulnerability	File_Upload
Privilege_Escalation_Vulnerability	Buffer_Overflow
Directory_Traversal	Buffer_Overflow
Code_Execution_Vulnerability	Buffer_Overflow
TITLE_SQL_Injection	TITLE_File_Inclusion
Privilege_Escalation_Vulnerability	Multiple_Buffer_Overflow
Multiple_SQL_Injection	Multiple_Buffer_Overflow
Code_Execution_Vulnerability	Multiple_Buffer_Overflow
Code_Execution_Vulnerability	Format_String
Code_Execution_Vulnerability	Processing_Buffer_Overflow
TITLE_File_Inclusion	TITLE_SQL_Injection
Script_Insertion_Vulnerabilities	Multiple_SQL_Injection
id_SQL_Injection	Multiple_SQL_Injection
Multiple_Buffer_Overflow	Multiple_SQL_Injection
Privilege_Escalation_Vulnerability	Buffer_Overflow_Vulnerability
Buffer_Overflow	Buffer_Overflow_Vulnerability
Code_Execution_Vulnerability	Buffer_Overflow_Vulnerability
Privilege_Escalation_Vulnerability	Local_Privilege_Escalation
TITLE_SQL_Injection	Local_Privilege_Escalation
Code_Execution_Vulnerability	Local_Privilege_Escalation
Script_Insertion_Vulnerabilities	Script_Insertion
SQL_Injection_Vulnerabilities	Script_Insertion
Code_Execution_Vulnerability	Script_Insertion
File_Inclusion	File_Inclusion_Vulnerabilities
SQL_Injection_Vulnerabilities	File_Inclusion_Vulnerabilities
Script_Insertion_Vulnerabilities	Remote_File_Inclusion
TITLE_SQL_Injection	Remote_File_Inclusion
Code_Execution_Vulnerability	Remote_File_Inclusion
Directory_Traversal	DNS_Cache_Poisoning
TITLE_File_Inclusion	DNS_Cache_Poisoning
Privilege_Escalation_Vulnerability	Security_Bypass_Vulnerabilities
Buffer_Overflow	Security_Bypass_Vulnerabilities
Privilege_Escalation_Vulnerability	Format_String_Vulnerability
Privilege_Escalation_Vulnerability	Authentication_Bypass
Remote_File_Inclusion	Authentication_Bypass
Code_Execution_Vulnerability	Authentication_Bypass
Code_Execution_Vulnerability	Remote_Denial
File_Inclusion_Vulnerabilities	File_Inclusion
SQL_Injection_Vulnerabilities	File_Inclusion
Privilege_Escalation_Vulnerability	Buffer_Overflow_Vulnerabilities
Code_Execution_Vulnerability	Buffer_Overflow_Vulnerabilities
Code_Execution_Vulnerabilities	Command_Execution_Vulnerabilities
Privilege_Escalation_Vulnerability	Code_Execution_Vulnerabilities
Command_Execution_Vulnerabilities	Code_Execution_Vulnerabilities
Script_Insertion_Vulnerability	Local_File_Inclusion
Code_Execution_Vulnerability	Local_File_Inclusion
Privilege_Escalation_Vulnerability	Integer_Overflow_Vulnerability
Code_Execution_Vulnerability	Integer_Overflow_Vulnerability
Buffer_Overflow_Vulnerability	Code_Execution_Vulnerability
Privilege_Escalation_Vulnerability	Arbitrary_Code
Command_Execution_Vulnerabilities	Arbitrary_Code
Privilege_Escalation_Vulnerability	Insecure_Temporary_File
Security_Bypass_Vulnerability	Authentication_Bypass_Vulnerability
AntiOnline_Spotlight	Encrypts
Directory_Traversal_Vulnerability	Encrypts
File_Inclusion	Script_Insertion_Vulnerabilities
SQL_Injection_Vulnerabilities	Script_Insertion_Vulnerabilities
Script_Insertion_Vulnerability	SQL_Injection_Vulnerability
SQL_Injection_Vulnerabilities	SQL_Injection_Vulnerability
Script_Insertion	SQL_Injection_Vulnerability
Privilege_Escalation_Vulnerability	Buffer_Overflows
Directory_Traversal	Buffer_Overflows
Privilege_Escalation	Bypass_Vulnerability
Directory_Traversal	Bypass_Vulnerability
Command_Execution_Vulnerabilities	Unauthorized_Access
Privilege_Escalation_Vulnerability	Command_Execution_Vulnerability
Buffer_Overflow	Command_Execution_Vulnerability
Code_Execution_Vulnerability	Command_Execution_Vulnerability
Script_Insertion_Vulnerabilities	Disclosure_Vulnerability
Directory_Traversal	Disclosure_Vulnerability
Code_Execution_Vulnerability	Disclosure_Vulnerability
Privilege_Escalation_Vulnerability	Integer_Overflow
Integer_Overflow_Vulnerability	Integer_Overflow
Code_Execution_Vulnerability	Integer_Overflow